Recommended Filename,Google Place Photo URL
sportsmed_fort-lee-nj_1.jpg,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2048&photo_reference=Aaw_FcIq9LQl8rPqD7viz3sQxEcUNl3b7686xpRBuQ-SYTCTKfBUDVFZ8zNOttM1djnFQH6_-GI8lbwSRbVUCcgkromUVjBT1tivXjM_JzKBQ5-RVlKDrSUpGVGmAL2O2s1p9B24eE6qPIg2CS5Mlkk5wJKFzxMI4lVAkAXVMmdvuWWf-Jsa&key=AIzaSyC8CiBVNeMwe0x7UVQlJ8TUmG7GYjbD_zE
sportsmed_fort-lee-nj_2.jpg,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2048&photo_reference=Aaw_FcLcAOEPggy5dG9Ksm9r2WUcQB9-O0vzXaDBVWIsmw2yb3r854Bz-WPOgLbvBVnuvBUMh-tICx-obsw64_fLnQAvlbt57oX0XKNEmw8kFa213-BdOU0-FajvRHswTwiY8I_X5oTXdJETnDa7h8GCxMt6Wqm_9_xIhfwlL9IAS1qHQMsa&key=AIzaSyC8CiBVNeMwe0x7UVQlJ8TUmG7GYjbD_zE
sportsmed_fort-lee-nj_3.jpg,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2048&photo_reference=Aaw_FcITrvGddqJJ-81qpt5EmPLtsHx6_7aJZHLB_XkMaWlgEx7JZ3acmquvFMy0Vm1DlvgiiIqqIg75MDmMDM2zQaoQy7RnTymZ8Zp264dYxGqCYWwWH2_1nNTNs4Lew-pp9MDScIOp9ZqbZbjrRSzim-Xw1wTTS05aT4omHcajHTjmJKvs&key=AIzaSyC8CiBVNeMwe0x7UVQlJ8TUmG7GYjbD_zE
sportsmed_fort-lee-nj_4.jpg,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2048&photo_reference=Aaw_FcI40b8vtICR4QIrUrsceh2pibECM0_5DtCxIQaTIlj9qg60_BopWO5bG4e-jeTauk-0r6kTthKpSl086jDfHNgYftg9PY81usc-Z2BXf_zzy9mrT_2rVZUzLhWg4A-uSTpI3XoY0okNhTvm9FqoScwM_zS1XwjlGQ_JgC64Gc_x-8QJ&key=AIzaSyC8CiBVNeMwe0x7UVQlJ8TUmG7GYjbD_zE
sportsmed_fort-lee-nj_5.jpg,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2048&photo_reference=Aaw_FcJg4xly6KpaUZlSEZeM2WUvdvNgBIrAU_N9XQGE010yBCcWd4JdU6WNqEbryILgP-5Sk3axmsFuMGEkF7S5xuS_TDSypKdjLjVPtoYAo6n9ujzP28sqtB3lsjkQrm0dQuPL27KAKZV49N4nurK2nWxmNiXzIhzyt-r5FPk1nk5SYkRP&key=AIzaSyC8CiBVNeMwe0x7UVQlJ8TUmG7GYjbD_zE
sportsmed_fort-lee-nj_6.jpg,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2048&photo_reference=Aaw_FcLqX9v3a4VHnIG7v-5U0uwHbvE9E3jbfghJtmbVfGlj_fjmXEl0SM1AhsQBFdGGtyIc6Ve31xG9KVJTroU7eC9o5Xv3q9FJXGIDFRURJC50lGER197HP4jnMyfMEToPJsc6fqeFLpBbITU-NCqOyAJQkpNAEgQljIPBJPFGO_hU64A_&key=AIzaSyC8CiBVNeMwe0x7UVQlJ8TUmG7GYjbD_zE
sportsmed_fort-lee-nj_7.jpg,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2048&photo_reference=Aaw_FcIB1lTctfkrOqrBMDOjUEWmWL-NtIF-AmaNZauRn7pwH2O7qeNIzkoyW_4dc2u33Z2d6C0D6M9bhWa92H-uLkxIxYt5BFE7Mux-kZ6OSthsvMe9T3B01_oF-7sHcNyI3G0VR7b6cTHk8ba7QxCVTSxLPzS5nSOEQYDGyzm_g5mm_UEh&key=AIzaSyC8CiBVNeMwe0x7UVQlJ8TUmG7GYjbD_zE
sportsmed_fort-lee-nj_8.jpg,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2048&photo_reference=Aaw_FcLg-eFIlf2Y-Dbv7YremDpEkcyDpglZlurd7VLr0VPqRIsYS8ANB1oRRs9TztrANfJawKE-_hNEgQzgA9e213ROUWo30wF_FF6u70m8kC6kl_-Keep5eWVvfX40z4ZriQ-gVKFut0rTXmtGmL5OZ85jnIKFanABasips9ko2xKqeCq7&key=AIzaSyC8CiBVNeMwe0x7UVQlJ8TUmG7GYjbD_zE
sportsmed_fort-lee-nj_9.jpg,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2048&photo_reference=Aaw_FcIeesVxwy4hbTKU6mXhIdvJdXeg6md5896xzh5AWwIsIh1g0Tarb56O_p7n00eMPbIDsU0K-Y7P1xUC7u5w1tsdVLqn6pjw7QK_HzSGKhhpiYBkluahQbNGTxwtglwK5R79NtBp9If-poI1P0rSnlbNdB53sZCqm9QEBoDLnEqBVu5m&key=AIzaSyC8CiBVNeMwe0x7UVQlJ8TUmG7GYjbD_zE
sportsmed_fort-lee-nj_10.jpg,https://maps.googleapis.com/maps/api/place/photo?maxwidth=2048&photo_reference=Aaw_FcJXaTxxMMdP4ACsxnvYtNc7CVql2tzlxjxa-AOpyZQL2IFN7HY_BW_r80Ss6V0T09JSPiwgKteYqWYj8ZOvK_S8lYsa-iT9NhiUNXoziaeM6MX6EV_64e5Pd9l-vPn4YkeTQET-LefzrF-E5pQL5TnH4LKogdke6E1JSbpFYeasd33i&key=AIzaSyC8CiBVNeMwe0x7UVQlJ8TUmG7GYjbD_zE
